t       y
9.821	0.209
9.838	0.201
9.855	0.192
9.871	0.182
9.888	0.172
9.905	0.161
9.922	0.151
9.938	0.140
9.955	0.130
9.972	0.120
9.988	0.110
10.005	1.000E-1
10.022	9.092E-2
10.039	8.242E-2
10.055	7.510E-2
10.072	6.866E-2
10.089	6.355E-2
10.106	5.965E-2
10.122	5.656E-2
10.139	5.481E-2
10.156	5.398E-2
10.173	5.442E-2
10.189	5.594E-2
10.206	5.880E-2
10.223	6.246E-2
10.239	6.833E-2
10.256	7.439E-2
10.273	8.239E-2
10.290	9.030E-2
10.306	9.905E-2
10.323	0.109
10.340	0.119
10.357	0.130
10.373	0.140
10.390	0.150
10.407	0.161
10.423	0.172
10.440	0.180
10.457	0.190
10.474	0.199
10.490	0.207
10.507	0.214
10.524	0.220
10.541	0.226
10.557	0.232
10.574	0.235
10.591	0.237
10.608	0.238
10.624	0.238
10.641	0.236
10.658	0.233
10.674	0.229
10.691	0.224
10.708	0.216
10.725	0.210
10.741	0.202
10.758	0.193
10.775	0.184
10.792	0.174
10.808	0.161
10.825	0.151
10.842	0.140
10.858	0.130
10.875	0.120
10.892	0.110
10.909	9.991E-2
10.925	9.084E-2
10.942	8.271E-2
10.959	7.483E-2
10.976	6.822E-2
10.992	6.275E-2
11.009	5.830E-2
11.026	5.499E-2
11.043	5.293E-2
11.059	5.187E-2
11.076	5.183E-2
11.093	5.341E-2
11.109	5.588E-2
11.126	5.940E-2
11.143	6.420E-2
11.160	7.017E-2
11.176	7.703E-2
11.193	8.494E-2
11.210	9.357E-2
11.227	0.103
11.243	0.113
11.260	0.123
11.277	0.133
11.293	0.143
11.310	0.153
11.327	0.164
11.344	0.174
11.360	0.184
11.377	0.193
11.394	0.202
11.411	0.210
11.427	0.216
11.444	0.221
11.461	0.227
11.478	0.230
11.494	0.232
11.511	0.234
11.528	0.233
11.544	0.232
11.561	0.229
11.578	0.226
11.595	0.221
11.611	0.214
11.628	0.208
11.645	0.201
11.662	0.192
11.678	0.183
11.695	0.173
11.712	0.163
11.728	0.152
11.745	0.141
11.762	0.131
11.779	0.121
11.795	0.112
11.812	0.102
11.829	9.288E-2
11.846	8.413E-2
11.862	7.645E-2
11.879	6.998E-2
11.896	6.405E-2
11.913	5.949E-2
11.929	5.618E-2
11.946	5.561E-2
11.963	5.441E-2
11.979	5.444E-2
11.996	5.565E-2
12.013	5.809E-2
12.030	6.121E-2
12.046	6.596E-2
12.063	7.174E-2
12.080	7.859E-2
12.097	8.619E-2
12.113	9.496E-2
12.130	0.104
12.147	0.114
12.163	0.124
12.180	0.134
12.197	0.144
12.214	0.155
12.230	0.165
12.247	0.175
12.264	0.185
12.281	0.195
12.297	0.203
12.314	0.210
12.331	0.217
12.348	0.223
12.364	0.227
12.381	0.231
12.398	0.233
12.414	0.234
12.431	0.234
12.448	0.233
12.465	0.230
12.481	0.226
12.498	0.221
12.515	0.216
12.532	0.210
12.548	0.202
12.565	0.193
12.582	0.184
12.598	0.174
12.615	0.164
12.632	0.154
12.649	0.143
12.665	0.133
12.682	0.124
12.699	0.113
12.716	0.104
12.732	9.426E-2
12.749	8.568E-2
12.766	7.791E-2
12.782	7.138E-2
12.799	6.561E-2
12.816	6.107E-2
12.833	5.753E-2
12.849	5.293E-2
12.866	5.168E-2
12.883	5.162E-2
12.900	5.268E-2
12.916	5.514E-2
12.933	5.830E-2
12.950	6.243E-2
12.967	6.845E-2
12.983	7.507E-2
13.000	8.280E-2
13.017	9.085E-2
13.033	9.972E-2
13.050	0.109
13.067	0.120
13.084	0.130
13.100	0.140
13.117	0.150
13.134	0.160
13.151	0.170
13.167	0.180
13.184	0.189
